i,j,alpha,weight
welfare,people,0.5082,0.15553297497775218
welfare,wearing_masks,0.4757,0.168107794873566
home,answer,0.4596,0.12624588827405286
home,environment,0.4305,0.13579680664280055
home,large_extent,0.4425,0.13916625421865883
home,originally_thought,0.4425,0.13916625421865883
originally_thought,answer,0.3875,0.1597659596949876
originally_thought,environment,0.4177,0.1481648071928153
originally_thought,large_extent,0.3478,0.17611686579554428
originally_thought,question,0.5268,0.12559757509825945
overemphasized_success,value,0.4552,0.1605668448412511
face,connection,0.4464,0.16031446650756515
face,contact,0.5323,0.12801035434383198
face,interaction,0.3261,0.20637869227786707
face,relationship,0.5186,0.14044107137301579
pleasure,credit,0.3329,0.22988447214588045
pleasure,happiness,0.4516,0.17233667245357573
pleasure,people,0.4851,0.15817271890487428
pleasure,relative,0.5386,0.14040794078776897
globe,world,0.5055,0.13627027349984663
inequality,health,0.5302,0.1664238796388497
inequality,income,0.5506,0.15748907014908226
inequality,people,0.3348,0.29160023171504884
nationalism_populism,long_term,0.4542,0.12537448384955963
consumption,number,0.4653,0.16478865561264439
big_guys,central_government,0.3174,0.2414623851632059
big_guys,community,0.529,0.15247855346577024
big_guys,help,0.4459,0.18072147043743794
big_guys,people,0.4334,0.2234004862053106
big_guys,society,0.5471,0.13797275776378626
relative,animal,0.3275,0.244608391165344
relative,aristotle_once,0.5039,0.15477769176586398
relative,friend,0.4013,0.20294587651742418
relative,happiness,0.5644,0.130212440214902
relative,larger_group,0.5039,0.15477769176586398
relative,people,0.4027,0.2022317926756949
neighbor,capital,0.5355,0.15760680395791252
neighbor,community,0.4308,0.2052821371412263
neighbor,people,0.4477,0.21478738861050198
america,long_term,0.4542,0.12537448384955963
note,community,0.6023,0.121934886383964
bar,kin,0.4444,0.18604093729760168
preparation,bird_flu,0.3638,0.19365348833998078
preparation,civilization,0.3638,0.19365348833998078
preparation,end,0.4786,0.14493910985135697
preparation,event,0.4968,0.13810380076293635
preparation,greatest_blessing,0.3638,0.19365348833998078
illness,external_threat,0.4842,0.12068632845550309
civilization,bird_flu,0.3638,0.19365348833998078
civilization,end,0.443,0.14493910985135697
civilization,event,0.4667,0.13810380076293635
civilization,greatest_blessing,0.3638,0.19365348833998078
issue,fact,0.4832,0.1446383847290009
kin,increase,0.4815,0.16876866821155032
kin,number,0.486,0.15651379826773623
kin,outcome,0.5738,0.1392415291816849
kin,people,0.4235,0.22949957370949878
kin,relationship,0.3531,0.21942878030363894
established_connection,community,0.6023,0.121934886383964
guidance,question,0.5397,0.12107023914750496
society,central_government,0.5471,0.13797275776378626
society,community,0.5377,0.14179802381680257
society,external_threat,0.5473,0.13792148661280781
society,help,0.57,0.1289209108139426
society,people,0.1302,0.4274263194742209
society,sense,0.443,0.18386290213753292
society,world,0.2756,0.2505182817733162
credit,happiness,0.5194,0.14212784983377197
strengthening,party,0.4268,0.14563697239504328
strengthening,relationship,0.4807,0.1288302873709951
run,world,0.5055,0.13627027349984663
problem,couple,0.5459,0.12093587127202568
problem,long_term,0.5309,0.12569019884710805
external_threat,category,0.4842,0.12068632845550309
external_threat,plague,0.4842,0.12068632845550309
external_threat,sense,0.5397,0.15242189191125452
end,bird_flu,0.443,0.14493910985135697
end,connection,0.3669,0.1761529421399295
end,greatest_blessing,0.4786,0.14493910985135697
end,people,0.5916,0.1406511089903003
end,skill,0.5172,0.1336465362993236
gratitude,concert,0.4009,0.18782246858328974
gratitude,crowded_subway,0.4009,0.18782246858328974
gratitude,disaster,0.4387,0.1703847999448678
gratitude,friend,0.5568,0.12313723987421853
gratitude,increase,0.4354,0.1703847999448678
gratitude,loved_one,0.4014,0.15801257715106232
gratitude,variety,0.4009,0.18782246858328974
process,people,0.5485,0.160813535611496
animal,friend,0.5134,0.12706539744731793
animal,people,0.5961,0.13866873775612795
interaction,connection,0.4439,0.15184482294597212
interaction,contact,0.5257,0.121247383433566
interaction,day,0.3225,0.2082715090366265
interaction,emotion,0.5184,0.1237815041945322
interaction,expression,0.5184,0.1237815041945322
interaction,importance,0.3439,0.19710633837306712
interaction,people,0.5122,0.17903754084637608
interaction,relationship,0.5024,0.1470505348594941
interaction,value,0.5585,0.12017555564026046
loved_one,certainty,0.4751,0.13232490035132458
loved_one,life,0.3976,0.15939258638897383
